research_team_id,rt_hypothesis,estimate,standard_error,t_value,stage,first_principle_component_team_quality,reproducibility_score,average_rating_by_peers_after_removing_peer_fixed_effect
JYUR,2,-1.19,3.78,-0.31481481,1,-1.84590397,1,-2.335714286
KHSV,2,-6.76,0.514,-13.151751,1,-1.984233213,1,-1.535714286
KJCY,2,-23.402,25.747,-0.90892142,1,-0.425850066,0.25,1.057142857
KJMR,2,6.492,7.166,0.90594476,1,1.719284137,1,-2.128571429
KJNQ,2,-2.522,4.666,-0.54050577,1,-1.236757662,1,-1.678571429
KSUJ,2,-1.935,0.825,-2.3454545,1,-0.775795213,1,2.064285714
KWUT,2,14.091,24.804,0.56809384,1,-0.277666207,0.75,3.242857143
KZPU,2,116.072,72.217,1.607267,1,0.310723913,0,0.335714286
LBOM,2,0.097,3.003,0.032301031,1,0.033473319,0,-1.4
LHIK,2,-0.556,7.082,-0.078508899,1,-0.775795213,1,-2.971428571
LKWD,2,-2.656,7.832,-0.33912155,1,1.569461214,1,1.692857143
LQUT,2,22.301,20.842,1.0700029,1,0.970169522,0.75,-1.162698413
LTMC,2,7.029,10.776,0.65228283,1,-1.075441059,0,-0.25
LXOK,2,-0.00065,0.00033,-1.969697,1,-0.725495912,1,0.557142857
LYOD,2,-0.793,8.406,-0.094337381,1,2.018929983,1,-2.242857143
LZHZ,2,-0.26,1.36,-0.19117647,1,-1.674732751,1,-1.807142857
LZWO,2,-6.254,0.832,-7.5168271,1,1.108498765,1,-1.755555556
MFWS,2,0.564,8.919,0.06323579,1,1.269815368,1,1.25
MLNS,2,10.862,10.02,1.0840319,1,-0.575672989,0,-0.642857143
MOUZ,2,2.455,0.495,4.9595962,1,1.719284137,0,1.064285714
MRYE,2,7.232,8.431,0.85778672,1,1.719284137,1,1.421428571
MSBZ,2,-9.042,3.352,-2.697494,1,1.119992445,0.25,0.394444444
NCBZ,2,3.058,2.241,1.3645694,1,1.569461214,1,0.178571429
NCPN,2,-2.277,1.231,-1.8497157,1,-2.1356952,0.75,1.014285714
NDCU,2,-0.948,1.458,-0.65020579,1,-1.824555674,1,-1.134920635
NEJA,2,-25.066,50.045,-0.50086921,1,-1.474610527,1,-0.8
NHZL,2,-4.48,3.629,-1.2344998,1,-0.775795213,1,-1.957142857
NOLD,2,248.159,217.449,1.1412286,1,1.419638291,1,0.778571429
NPJH,2,-8.056,1.021,-7.8903036,1,-0.937111816,0.75,-2.614285714
NRJN,2,-1.457,6.879,-0.21180405,1,0.471448408,0,0.981746032
NSPO,2,1.181,1.179,1.0016963,1,-1.524909828,1,-3.634920635
NUYK,2,-0.291,0.002071,-140.51183,1,-0.937111816,1,0.472222222
OATA,2,100.753,162.478,0.62010241,1,-1.995726893,0.75,-2.285714286
OCTX,2,15.142,18.586,0.81469923,1,-0.62597229,0,-1.860714286
ORMQ,2,-0.107,6.172,-0.017336357,1,-1.375086905,1,-3.828571429
OSIC,2,-3.972,0.835,-4.756886,1,0.598876079,1,-0.457142857
OWMB,2,688.332,492.588,1.3973787,1,0.610369759,0,1.478571429
OYIG,2,-1.801,0.974,-1.849076,1,2.018929983,1,-3.2
PDMO,2,2.928,5.98,0.4896321,1,-0.775795213,0.75,0.242857143
PEJY,2,-0.2,9.834,-0.020337604,1,1.707790457,1,-0.814285714
PHXZ,2,0.828,0.591,1.4010153,1,0.183296242,1,2.764285714
PKYR,2,-3.191,0.309,-10.32686,1,2.018929983,1,-3.112698413
PRJG,2,9.623,16.909,0.56910521,1,-0.775795213,0,-1.364285714
PUBS,2,22.219,17.462,1.2724202,1,-1.524909828,0,-0.378571429
PVCC,2,-186074.5,188404.1,-0.98763508,1,-0.425850066,0,-0.682539683
QBYX,2,0.00276726,0.00091029,3.0399764,1,0.183296242,1,1.078571429
QDZZ,2,0.8,0.00011627,6880.5366,1,1.569461214,0,0.115079365
QFYA,2,1.142,24.426,0.046753459,1,1.569461214,0,-0.335714286
QKTL,2,19.434,21.14,0.9192999,1,0.910015605,1,-0.703571429
QLBB,2,-1.92,17.708,-0.10842557,1,2.018929983,0.25,1.514285714
QLGC,2,15.281,27.777,0.55013138,1,-1.824555674,0,-2.192857143
QLQL,2,0.01,12.234,0.000817394,1,-2.295372739,0.25,-0.906349206
QLWV,2,2.54,12.331,0.20598492,1,-0.725495912,0.5,-2.075
QTPF,2,-4.513,24.839,-0.18169008,1,-1.225263982,0,0.507142857
QWAS,2,1.443,0.929,1.5532831,1,2.018929983,0,0.714285714
QXPZ,2,2.533,25.53,0.09921661,1,-0.326326444,1,-2.5
RDFJ,2,-6.265,4.053,-1.5457686,1,1.569461214,1,-0.514285714
RLPD,2,-203.391,0.266,-764.62781,1,-1.84590397,0.25,-5.407142857
RQFZ,2,-0.006488,0.731,-0.008875513,1,0.333119165,0,1.75
SDJW,2,-3.16,8.7,-0.3632184,1,-1.83441029,1,-2.621428571
SDKG,2,0.098,0.142,0.69014084,1,1.86910706,0.25,1.1
SEPC,2,-0.66,0.745,-0.88590604,1,-2.134056136,0,-2.178571429
SYUY,2,-4.477,4.815,-0.92980272,1,-0.787288893,1,-2.3
TBGV,2,3.9,0.931,4.189044,1,1.719284137,0,-3.314285714
TJQM,2,-6.455,0.136,-47.463234,1,-1.824555674,0.25,-0.435714286
TKJI,2,-96.314,6.615,-14.559939,1,-1.84590397,1,0.738888889
TOPR,2,1098,394.8,2.7811551,1,0.011078067,0,0.414285714
TURQ,2,-4.657,1.836,-2.5364923,1,-1.524909828,1,1.4
TWZE,2,7.416,1.977,3.751138,1,2.018929983,0,-0.985714286
TXCM,2,3.282,3.366,0.97504455,1,-1.174964681,0.75,-1.296825397
TXFR,2,-1.359,0.43,-3.160465,1,1.707790457,1,1.742857143
TXXS,2,2.098,1.122,1.8698752,1,0.782587934,0,0.171428571
UFAO,2,2.981,14.931,0.19965173,1,-1.075441059,0.75,-1.384126984
UISV,2,-0.029,0.029,-1,1,-2.733347828,1,-0.35
UQYD,2,-0.318,0.037,-8.594595,1,1.408144611,0.75,1.257142857
UTKY,2,-2.377,4.558,-0.52150065,1,-1.075441059,1,1.471428571
UXOU,2,-90.1,128.187,-0.70287937,1,1.719284137,0,2.121428571
VBXC,2,-2.268,3.263,-0.69506592,1,-0.41599545,0.75,-0.1
VFDC,2,0.064,0.033,1.939394,1,-0.725495912,0,1.607142857
VHSY,2,4124,4172,0.98849475,1,-1.236757662,1,-0.761111111
VUVW,2,-0.575,0.918,-0.62636167,1,0.632765011,1,2.242857143
WGMQ,2,-0.00034,0.00024,-1.4166666,1,1.719284137,0,-3.064285714
WYBV,2,-2.356,0.459,-5.1328974,1,2.018929983,0.75,3.138888889
XFUD,2,3.888,21.513,0.18072793,1,-2.744841508,0,-3.563492063
XJQN,2,-3.22,0.558,-5.7706094,1,1.86910706,1,-0.15
XMDF,2,3.54E-08,4.26E-08,0.8309859,1,-0.127843284,1,-2.207142857
XPUJ,2,5.828,15.397,0.3785153,1,-1.83441029,0.75,-0.228571429
XVDF,2,0.432,9.965,0.043351732,1,-0.787288893,1,0.464285714
XYAZ,2,-5.498,1.436,-3.8286908,1,1.719284137,1,2.25
YDEI,2,-0.031,0.003478,-8.9131689,1,0.798998303,1,2.561507937
YHDE,2,19.657,25.264,0.77806365,1,2.018929983,0,0.842857143
YRWI,2,-1.763,0.186,-9.4784946,1,-0.886812515,0,1.185714286
YTDU,2,77.332,59.165,1.3070565,1,-1.375086905,0,-0.128571429
YTEZ,2,7.116,5.047,1.4099466,1,-1.225263982,1,1.95
ZAAZ,2,3.682,6.317,0.58287162,1,1.569461214,1,1.714285714
ZATN,2,113.8,120.3,0.94596839,1,-0.609561921,1,0.078571429
ZGYM,2,-8.865,0.4,-22.1625,1,-1.536403508,0.5,-0.121428571
ZKFY,2,-1.769,10.352,-0.17088485,1,1.569461214,0.75,-1.028571429
ZOHR,2,5.524,40.238,0.13728316,1,1.119992445,0,-1.976984127
ZYIE,2,-6.303,1.161,-5.4289408,1,2.018929983,1,-0.071428571
AFES,3,-3.126,1.964,-1.5916497,1,1.569461214,0,1.507142857
AJRC,3,3.817,2.083,1.8324533,1,-0.63746597,1,0.164285714
AMHC,3,-3.324,1.9,-1.7494737,1,-2.134056136,1,0.05
ANXH,3,-3.801,0.039,-97.46154,1,2.018929983,0.25,1.921428571
AOTG,3,-3.734,0.078,-47.871796,1,-0.266172527,0,1.578571429
ASHN,3,-2.72,0.297,-9.1582489,1,1.419638291,0,-0.407142857
AXUO,3,-2.586,1.481,-1.7461175,1,2.018929983,0.75,3.321428571
BBDS,3,-1.045,0.801,-1.3046192,1,-2.134056136,1,-1.464285714
BCCY,3,-3.438,1.997,-1.7215824,1,0.471448408,1,1.038888889
BCLX,3,-3.771,0.039,-96.692307,1,0.183296242,1,1.971428571
BERH,3,-3.775,0.294,-12.840137,1,0.610369759,0,1.207142857
BJMG,3,-3.438,1.998,-1.7207208,1,0.960314906,0,0.873015873
BMGE,3,8.688,3.178,2.7337949,1,-1.375086905,1,-2.685714286
BMVK,3,-2.328,1.368,-1.7017543,1,-2.433701982,1,2.378571429
BUKS,3,-3.323,1.9,-1.7489474,1,-1.684587367,0.75,-1.857142857
BYCV,3,-2.407,1.675,-1.4370149,1,-0.875318835,1,-2.475396825
CBIP,3,-0.173,0.1,-1.73,1,0.16090099,1,1.542857143
CBYS,3,-2.811,0.894,-3.1442952,1,-0.476149367,1,1.086507937
CCPO,3,-3.72,0.128,-29.0625,1,-0.298422395,1,0.910714286
